1

10 500
229
231
89
37
312
173
413
448
195
322
2 1 7
3 2 7
4 3 10
5 4 1
6 1 10
7 1 2
8 4 2
9 4 6
10 7 9
11 6 3
12 4 7
13 8 2
14 11 9
15 14 7
16 6 1
17 13 4
18 5 2
19 18 3
20 1 9
21 5 8
22 21 10
23 22 8
24 12 5
25 23 9
26 21 3
27 10 9
28 14 7
29 8 5
30 1 5
31 14 2
32 23 4
33 29 4
34 23 8
35 2 7
36 34 3
37 21 9
38 25 6
39 10 6
40 5 3
41 4 7
42 3 7
43 39 7
44 15 8
45 11 1
46 43 6
47 28 9
48 33 10
49 24 5
50 6 10
51 4 10
52 20 10
53 14 5
54 31 7
55 52 6
56 6 7
57 25 7
58 50 9
59 49 10
60 34 8
61 31 1
62 24 4
63 57 4
64 6 3
65 62 7
66 17 5
67 42 5
68 63 5
69 9 8
70 52 2
71 24 4
72 47 8
73 66 3
74 62 5
75 19 6
76 69 7
77 44 8
78 38 9
79 21 7
80 44 3
81 25 2
82 37 2
83 50 3
84 63 8
85 6 1
86 66 5
87 36 10
88 36 7
89 47 2
90 86 9
91 7 6
92 67 7
93 22 6
94 83 6
95 19 5
96 48 9
97 64 7
98 71 5
99 47 10
100 79 10
101 22 2
102 1 7
103 31 6
104 60 5
105 7 6
106 25 8
107 10 9
108 75 5
109 53 8
110 67 1
111 74 10
112 102 1
113 82 3
114 84 8
115 71 8
116 47 8
117 37 1
118 20 1
119 9 2
120 97 7
121 79 2
122 95 10
123 1 9
124 107 9
125 98 8
126 4 1
127 97 1
128 67 8
129 112 9
130 98 10
131 26 1
132 123 6
133 84 5
134 14 4
135 92 8
136 85 5
137 75 6
138 85 3
139 122 4
140 107 4
141 21 3
142 119 1
143 116 7
144 121 9
145 117 2
146 5 3
147 104 8
148 84 7
149 29 8
150 24 10
151 145 2
152 140 8
153 101 2
154 67 4
155 11 5
156 7 5
157 149 3
158 8 2
159 97 4
160 32 5
161 27 1
162 16 10
163 79 9
164 85 3
165 4 8
166 62 3
167 61 8
168 48 1
169 131 1
170 30 3
171 25 3
172 143 4
173 75 5
174 18 7
175 150 9
176 79 6
177 17 2
178 52 1
179 88 5
180 16 6
181 155 9
182 42 5
183 18 9
184 67 6
185 155 2
186 103 8
187 8 8
188 22 3
189 106 9
190 99 3
191 59 4
192 80 2
193 168 8
194 84 7
195 41 9
196 154 7
197 15 3
198 194 2
199 93 10
200 5 4
201 113 6
202 23 9
203 107 5
204 6 8
205 61 3
206 147 6
207 147 3
208 99 4
209 164 2
210 110 2
211 90 4
212 53 8
213 112 3
214 78 1
215 142 9
216 126 7
217 202 8
218 13 8
219 48 9
220 184 8
221 13 8
222 121 1
223 150 3
224 221 10
225 111 6
226 213 6
227 195 3
228 174 10
229 173 4
230 201 10
231 193 7
232 132 8
233 116 4
234 176 7
235 206 4
236 57 7
237 160 1
238 165 5
239 58 5
240 6 10
241 240 9
242 205 2
243 153 8
244 238 9
245 72 3
246 10 6
247 15 8
248 96 5
249 167 2
250 228 5
251 218 9
252 207 1
253 182 1
254 144 7
255 167 3
256 81 6
257 99 10
258 172 3
259 194 10
260 118 3
261 92 10
262 64 2
263 97 2
264 113 10
265 158 9
266 61 3
267 257 8
268 227 10
269 220 1
270 101 5
271 233 3
272 138 5
273 223 9
274 100 4
275 38 9
276 256 1
277 223 5
278 220 7
279 258 8
280 206 3
281 28 3
282 183 6
283 112 3
284 178 2
285 250 3
286 83 8
287 194 7
288 182 2
289 195 1
290 108 6
291 200 10
292 81 8
293 138 10
294 36 3
295 201 4
296 146 6
297 70 4
298 235 10
299 55 8
300 16 2
301 203 10
302 123 10
303 274 5
304 183 3
305 48 5
306 285 5
307 242 6
308 224 1
309 79 9
310 244 5
311 184 10
312 283 2
313 80 2
314 248 2
315 116 5
316 135 2
317 268 5
318 34 9
