what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1234555930041
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1234555930057
started,bundle,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui,1234555930120
started,bundle,org.eclipse.cdt.make.ui,5.0.1.200809120802,org.eclipse.cdt.make.ui,1234555930135
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1234555933291
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1234555933354
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1234555933963
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1234555993432
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556065432
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556253690
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556260268
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556608690
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556609861
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1234556609908
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1234556609986
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234556610049
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1234556610080
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1234556610549
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1234556610580
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1234556610596
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1234556610596
