what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.ui,1234552372344
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.1.200809120802,org.eclipse.cdt.managedbuilder.core,1234552372454
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200809120802,org.eclipse.cdt.managedbuilder.gnu.ui,1234552372579
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234552372938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234552377641
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234552390532
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234552392548
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234552392641
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1234552392938
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1234552392969
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1234552392969
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1234552392969
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1234552392969
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1234552392969
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1234552392969
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1234552392969
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1234552392969
